YearBuilt,NumberofFloors,PropertyGFATotal,ENERGYSTARScore,SiteEnergyUseWN(kBtu),TotalGHGEmissions,GHGEmissionsIntensity,ProportionParkingGFA,ProportionElectricity(kBtu),ProportionNaturalGas(kBtu),ProportionSteamUse(kBtu),Distribution Center,Hospital,Hotel,K-12 School,Laboratory,Large Office,Medical Office,Mixed Use Property,Office,Other,Refrigerated Warehouse,Residence Hall,Restaurant,Retail Store,Self-Storage Facility,Senior Care Community,Small- and Mid-Sized Office,Supermarket / Grocery Store,University,Warehouse,Worship Facility
14,4,51390,89.0,3616214.0,127.29,2.48,0.0,0.3871727225353852,0.6128272774646149,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,2,131013,88.0,4290831.5,124.92,0.95,0.0,0.4558863724743936,0.5441137559090065,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,1,245587,92.0,12870916.0,443.73,1.81,0.0,0.3336832493008055,0.6663166657062464,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,3,69138,78.0,3323400.5,89.02,1.29,0.0,0.5560253980159496,0.44397429357604634,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,5,190980,98.0,6505995.0,142.39,0.75,0.0,0.6767466006352603,0.32325324566034863,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,6,284100,73.0,14881950.0,429.12,1.51,0.0,0.6695365680378966,0.036017001534405416,0.2944462938296904,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
24,2,55513,93.0,1598852.625,10.55,0.19,0.0,1.0000001651723252,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,4,61156,73.0,9550716.0,176.75,2.89,0.0,0.741962245660592,0.258037754339408,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
102,4,72820,73.0,2095175.25,46.26,0.64,0.1897830266410327,0.6524240754749687,0.34757561365007184,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
19,4,162222,76.0,8016521.0,228.4,1.41,0.08753436648543354,0.5281845475270358,0.4718154524729642,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,4,289588,90.0,9542598.0,170.84,0.59,0.0,0.7312780305157048,0.26872174272312055,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,3,63330,73.0,3284214.5,74.33,1.17,0.0,0.6245801138521413,0.37541988614785876,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
13,2,96300,73.0,16274449.0,222.02,2.31,0.0,0.8562400293875521,0.14375984806218936,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
65,1,67356,73.0,8086930.5,204.08,3.03,0.0,0.5594217971788802,0.44057813593665507,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7,3,254523,60.0,14810159.0,359.09,1.41,0.0,0.5774760841387836,0.42252384215715855,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,3,78804,92.0,2677620.75,56.82,0.72,0.0,0.6583120593484159,0.34168794065158414,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,3,66994,79.0,2579774.5,41.74,0.62,0.0,0.7695532142750963,0.2304465748704985,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,3,98357,88.0,3783580.25,94.64,0.96,0.0,0.5575791893335077,0.44242066599607105,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,1,54765,73.0,4503671.5,61.21,1.12,0.0,0.8391786793975929,0.16082120304854775,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,5,89821,73.0,2220796.5,100.46,1.12,0.0,0.03459425642629773,0.9654059999717962,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
35,2,52611,73.0,4390158.0,104.26,1.98,0.0,0.6022225857668864,0.39777729278166685,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14,4,139600,89.0,4800620.5,129.39,0.93,0.2686246418338109,0.5206822622711841,0.47931762533346295,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4,2,236758,96.0,9287467.0,222.78,0.94,0.0,0.5732353509103082,0.42676446957771663,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,6,250981,73.0,14196194.0,422.39,1.68,0.0,0.6238669798113482,0.044383821538131994,0.3317490838988043,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13,3,62526,96.0,2192411.0,54.07,0.86,0.0,0.5610955518930081,0.4389045110445693,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,3,64015,21.0,3375016.25,49.58,0.77,0.0,0.8196540012033949,0.18034607590764903,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
